run_id,dataset,split_seed,backbone,regime,heldout,source,method,alpha,lambda,P,W,balanced,macro,worst,PLCC,RMSE,centered_PLCC
agiqa3k__rn50__split42__logo_AttnGAN__ridge_fixed__jointsearch63,AGIQA-3K,42,RN50,logo,AttnGAN,,ridge_fixed,10.0,0.0,0.41673862233089687,0.41673862233089687,0.41673862233089687,0.41673862233089687,0.41673862233089687,0.47131237611766524,1.011728909042455,0.471312376117665
agiqa3k__rn50__split42__logo_AttnGAN__cc_alpha10__jointsearch63,AGIQA-3K,42,RN50,logo,AttnGAN,,cc_alpha10,10.0,10.0,0.40337071178145567,0.40337071178145567,0.40337071178145567,0.40337071178145567,0.40337071178145567,0.45295313337369725,0.9124777627899925,0.4529531333736973
agiqa3k__rn50__split42__logo_AttnGAN__ridge_tuned15__jointsearch63,AGIQA-3K,42,RN50,logo,AttnGAN,,ridge_tuned15,1.0,0.0,0.4028326974941232,0.4028326974941232,0.4028326974941232,0.4028326974941232,0.4028326974941232,0.4512013607002513,0.8229780353508889,0.45120136070025124
agiqa3k__rn50__split42__logo_AttnGAN__cc_joint__jointsearch63,AGIQA-3K,42,RN50,logo,AttnGAN,,cc_joint,1.0,0.3,0.39379912426815683,0.39379912426815683,0.39379912426815683,0.39379912426815683,0.39379912426815683,0.44562073781148764,0.8302394883366003,0.4456207378114878
agiqa3k__rn50__split42__logo_AttnGAN__ridge_matched__jointsearch63,AGIQA-3K,42,RN50,logo,AttnGAN,,ridge_matched,0.9900990099009901,0.0,0.4021626797013486,0.4021626797013486,0.4021626797013486,0.4021626797013486,0.4021626797013486,0.451011818888013,0.8228327660738726,0.451011818888013
agiqa3k__rn50__split42__logo_AttnGAN__sample_joint__jointsearch63,AGIQA-3K,42,RN50,logo,AttnGAN,,sample_joint,3.0,3.0,0.39590006894904944,0.39590006894904944,0.39590006894904944,0.39590006894904944,0.39590006894904944,0.44921511590994084,0.8544017004394663,0.44921511590994084
agiqa3k__rn50__split42__logo_AttnGAN__uncentered_joint__jointsearch63,AGIQA-3K,42,RN50,logo,AttnGAN,,uncentered_joint,1.0,0.3,0.39332822287416364,0.39332822287416364,0.39332822287416364,0.39332822287416364,0.39332822287416364,0.4448639497962266,0.8235833137590312,0.44486394979622657
agiqa3k__rn50__split42__logo_AttnGAN__sample_at_cc__jointsearch63,AGIQA-3K,42,RN50,logo,AttnGAN,,sample_at_cc,1.0,0.3,0.39398735148887987,0.39398735148887987,0.39398735148887987,0.39398735148887987,0.39398735148887987,0.4464867473057515,0.8259674993327467,0.4464867473057515
agiqa3k__rn50__split42__logo_AttnGAN__uncentered_at_cc__jointsearch63,AGIQA-3K,42,RN50,logo,AttnGAN,,uncentered_at_cc,1.0,0.3,0.39332822287416364,0.39332822287416364,0.39332822287416364,0.39332822287416364,0.39332822287416364,0.4448639497962266,0.8235833137590312,0.44486394979622657
agiqa3k__rn50__split42__logo_AttnGAN__centered_only_at_cc__jointsearch63,AGIQA-3K,42,RN50,logo,AttnGAN,,centered_only_at_cc,1.0,0.3,0.4216427525633846,0.4216427525633846,0.4216427525633846,0.4216427525633846,0.4216427525633846,0.472985201278122,1.0803367067915333,0.47298520127812194
agiqa3k__rn50__split42__logo_DALLE2__ridge_fixed__jointsearch63,AGIQA-3K,42,RN50,logo,DALLE2,,ridge_fixed,10.0,0.0,0.37853589580603597,0.37853589580603597,0.37853589580603597,0.37853589580603597,0.37853589580603597,0.47926382426684433,0.6036876067410634,0.4792638242668442
agiqa3k__rn50__split42__logo_DALLE2__cc_alpha10__jointsearch63,AGIQA-3K,42,RN50,logo,DALLE2,,cc_alpha10,10.0,10.0,0.5265045881681485,0.5265045881681485,0.5265045881681485,0.5265045881681485,0.5265045881681485,0.6014377386714278,0.5393258505148308,0.601437738671428
agiqa3k__rn50__split42__logo_DALLE2__ridge_tuned15__jointsearch63,AGIQA-3K,42,RN50,logo,DALLE2,,ridge_tuned15,0.3225806451612903,0.0,0.4970701211506018,0.4970701211506018,0.4970701211506018,0.4970701211506018,0.4970701211506018,0.5730674380748406,0.5489684690387632,0.5730674380748406
agiqa3k__rn50__split42__logo_DALLE2__cc_joint__jointsearch63,AGIQA-3K,42,RN50,logo,DALLE2,,cc_joint,10.0,10.0,0.5265045881681485,0.5265045881681485,0.5265045881681485,0.5265045881681485,0.5265045881681485,0.6014377386714278,0.5393258505148308,0.601437738671428
