dataset,method,logo_mean,logo_min,logo_mean_defined_only,defined_folds,total_folds,transfer_P,transfer_W
AGIQA-3K,ridge_fixed,0.5316492634084957,0.37853589580603597,0.5316492634084957,6,6,0.739813580855599,0.5079055278580881
AGIQA-3K,cc_alpha10,0.5916733059603664,0.40337071178145567,0.5916733059603664,6,6,0.7458037270990825,0.48686013191507393
AGIQA-3K,ridge_tuned15,0.5727725928539894,0.4028326974941232,0.5727725928539894,6,6,0.751083528377593,0.47000553236619524
AGIQA-3K,cc_joint,0.5858498675819019,0.39379912426815683,0.5858498675819019,6,6,0.7458037270990825,0.48686013191507393
AGIQA-3K,ridge_matched,0.5717725956322114,0.4021626797013486,0.5717725956322114,6,6,0.750695039476003,0.4729818288421436
AGIQA-3K,sample_joint,0.589365526552673,0.39590006894904944,0.589365526552673,6,6,0.7458037270990825,0.48686013191507393
AGIQA-3K,uncentered_joint,0.5668330882245088,0.39332822287416364,0.5668330882245088,6,6,0.750695039476003,0.4729818288421436
AGIQA-3K,sample_at_cc,0.5837517622418721,0.39398735148887987,0.5837517622418721,6,6,0.7458037270990825,0.48686013191507393
AGIQA-3K,uncentered_at_cc,0.5682555995139212,0.39332822287416364,0.5682555995139212,6,6,0.751083528377593,0.47000553236619524
AGIQA-3K,centered_only_at_cc,0.5957332412989921,0.4216427525633846,0.5957332412989921,6,6,0.6674305800030753,0.5059169771611541
AIGCIQA2023,ridge_fixed,0.3882138975310078,0.08514990718691991,0.3882138975310078,6,6,0.6799875436273662,0.2940592156607301
AIGCIQA2023,cc_alpha10,0.4345045310538467,0.1353471584197401,0.4345045310538467,6,6,0.7017891535807359,0.3467869472708826
AIGCIQA2023,ridge_tuned15,0.4250295655686496,0.12316314476965479,0.4250295655686496,6,6,0.7164867987977545,0.33862725439392066
AIGCIQA2023,cc_joint,0.43324705444461786,0.12316314476965479,0.43324705444461786,6,6,0.7017891535807359,0.3467869472708826
AIGCIQA2023,ridge_matched,0.4261750727291329,0.12420490128063298,0.4261750727291329,6,6,0.7164281563661872,0.3385068502992549
AIGCIQA2023,sample_joint,0.43324705444461786,0.12316314476965479,0.43324705444461786,6,6,0.7091467211132508,0.3577437198854638
AIGCIQA2023,uncentered_joint,0.4261750727291329,0.12420490128063298,0.4261750727291329,6,6,0.7162231650593489,0.3389699429710462
AIGCIQA2023,sample_at_cc,0.43324705444461786,0.12316314476965479,0.43324705444461786,6,6,0.7091467211132508,0.3577437198854638
AIGCIQA2023,uncentered_at_cc,0.4256686944479227,0.12316314476965479,0.4256686944479227,6,6,0.7126446907155092,0.3351355356486146
AIGCIQA2023,centered_only_at_cc,,,0.4755218379048194,5,6,0.6774139639332342,0.36290257224921835
