dataset,backbone,method,split_count,unit,P_mean,P_std,P_mean_defined_only,P_defined_splits,W_mean,W_std,W_mean_defined_only,W_defined_splits,balanced_mean,balanced_std,balanced_mean_defined_only,balanced_defined_splits,macro_mean,macro_std,macro_mean_defined_only,macro_defined_splits,worst_mean,worst_std,worst_mean_defined_only,worst_defined_splits,PLCC_mean,PLCC_std,PLCC_mean_defined_only,PLCC_defined_splits,RMSE_mean,RMSE_std,RMSE_mean_defined_only,RMSE_defined_splits,centered_PLCC_mean,centered_PLCC_std,centered_PLCC_mean_defined_only,centered_PLCC_defined_splits
AGIQA-3K,RN50,ridge_fixed,5,overlapping_split_sensitivity,0.8516201872826095,0.012796154204068827,0.8516201872826095,5,0.5784295956780638,0.04292919129678559,0.5784295956780638,5,0.7150248914803367,0.027057978038143957,0.7150248914803367,5,0.5295960579760405,0.04752154268162758,0.5295960579760405,5,0.3206100574316607,0.09893644306857528,0.3206100574316607,5,0.8886468510120178,0.010618868788657214,0.8886468510120178,5,0.5326612459825598,0.014793960356081966,0.5326612459825598,5,0.6829523569249802,0.031488492869838604,0.6829523569249802,5
AGIQA-3K,RN50,cc_alpha10,5,overlapping_split_sensitivity,0.8738623392127227,0.011221215768778848,0.8738623392127227,5,0.6565499399947508,0.042585009479492446,0.6565499399947508,5,0.7652061396037366,0.02605819990060497,0.7652061396037366,5,0.601929727551549,0.03890669421327501,0.601929727551549,5,0.3829673191424133,0.08797779923413016,0.3829673191424133,5,0.893208207640322,0.009245809031256626,0.893208207640322,5,0.5310752089279884,0.015426403929674906,0.5310752089279884,5,0.745332255637663,0.02817710055142429,0.745332255637663,5
AGIQA-3K,RN50,ridge_tuned15,5,overlapping_split_sensitivity,0.877446239035596,0.012646931446074894,0.877446239035596,5,0.6391878778322112,0.04386111520628739,0.6391878778322112,5,0.7583170584339036,0.027857606330949563,0.7583170584339036,5,0.5716216357844625,0.04155413756941211,0.5716216357844625,5,0.3357831873857887,0.11716503923929314,0.3357831873857887,5,0.9063011164881752,0.008232823260926551,0.9063011164881752,5,0.45255367482735487,0.016004590945456885,0.45255367482735487,5,0.7291353195023801,0.03102600508813289,0.7291353195023801,5
AGIQA-3K,RN50,cc_joint,5,overlapping_split_sensitivity,0.8716530984628325,0.01344996284507843,0.8716530984628325,5,0.6570203445350393,0.03892549625967687,0.6570203445350393,5,0.764336721498936,0.02534451231052739,0.764336721498936,5,0.6014979250718429,0.033502809069797135,0.6014979250718429,5,0.38749195445295637,0.09004921977463028,0.38749195445295637,5,0.8897196175116301,0.015539464320643997,0.8897196175116301,5,0.5387737241748447,0.05431577588101368,0.5387737241748447,5,0.7453533834928601,0.027604104362415983,0.7453533834928601,5
AGIQA-3K,RN50,ridge_matched,5,overlapping_split_sensitivity,0.8776160562024387,0.012493714907933887,0.8776160562024387,5,0.6393397858485634,0.043713998614493044,0.6393397858485634,5,0.758477921025501,0.027700861548352412,0.758477921025501,5,0.5709984885829809,0.04154896341282526,0.5709984885829809,5,0.33184713212443506,0.11557916283092051,0.33184713212443506,5,0.9064540870118358,0.008207103925129034,0.9064540870118358,5,0.4520958270813685,0.01600193755159263,0.4520958270813685,5,0.7295242038632601,0.030894633756551368,0.7295242038632601,5
AGIQA-3K,RN50,sample_joint,5,overlapping_split_sensitivity,0.877629110950916,0.011569976680242877,0.877629110950916,5,0.6620570877663077,0.03907039192551429,0.6620570877663077,5,0.7698430993586118,0.025057436048905046,0.7698430993586118,5,0.6016517807520314,0.032246274395973454,0.6016517807520314,5,0.3893730671041753,0.08420843075996828,0.3893730671041753,5,0.8972566752123882,0.010846562564541508,0.8972566752123882,5,0.5069648227151473,0.028314092016487664,0.5069648227151473,5,0.7476840301895232,0.02589660588752174,0.7476840301895232,5
AGIQA-3K,RN50,uncentered_joint,5,overlapping_split_sensitivity,0.8769799690140431,0.012089321397316208,0.8769799690140431,5,0.6368182742241895,0.04253578988119998,0.6368182742241895,5,0.7568991216191163,0.02689266647993572,0.7568991216191163,5,0.5705837849173749,0.04205224309810317,0.5705837849173749,5,0.3365036917568104,0.11717534153663588,0.3365036917568104,5,0.9062589955031575,0.00808763651527113,0.9062589955031575,5,0.4527258520081118,0.015453921162724187,0.4527258520081118,5,0.7284323106035323,0.030186969408701553,0.7284323106035323,5
AGIQA-3K,RN50,sample_at_cc,5,overlapping_split_sensitivity,0.8734380430362986,0.013245811625886365,0.8734380430362986,5,0.6648916698720827,0.03858906005042198,0.6648916698720827,5,0.7691648564541905,0.02500101422716812,0.7691648564541905,5,0.6050559293016246,0.03343779985393823,0.6050559293016246,5,0.39514227175161,0.08706717910647759,0.39514227175161,5,0.8898959140219024,0.01561918365119076,0.8898959140219024,5,0.5325510547532495,0.05084321507368177,0.5325510547532495,5,0.7492199200898022,0.026341591670718773,0.7492199200898022,5
AGIQA-3K,RN50,uncentered_at_cc,5,overlapping_split_sensitivity,0.8744785774318785,0.012808256926507113,0.8744785774318785,5,0.6286628841985032,0.04564541763290987,0.6286628841985032,5,0.7515707308151909,0.02883462587166922,0.7515707308151909,5,0.5657591932703219,0.0440383569020005,0.5657591932703219,5,0.3320305380110547,0.11920554931460167,0.3320305380110547,5,0.9054211485374921,0.008091884536649004,0.9054211485374921,5,0.4548523930951096,0.015249322038805798,0.4548523930951096,5,0.7243995638523983,0.03197523899592437,0.7243995638523983,5
AGIQA-3K,RN50,centered_only_at_cc,5,overlapping_split_sensitivity,0.8401741421489977,0.03944664248099685,0.8401741421489977,5,0.6477291946841974,0.037545319892994145,0.6477291946841974,5,0.7439516684165978,0.03415404924628941,0.7439516684165978,5,0.6011851336016303,0.024335077280927552,0.6011851336016303,5,0.37417185170525025,0.059831872152868566,0.37417185170525025,5,0.8479030706288198,0.04008028293259847,0.8479030706288198,5,0.6884398435648345,0.14871188654259587,0.6884398435648345,5,0.7302246951408508,0.041953889448868686,0.7302246951408508,5
