dataset,backbone,split_seed,method,alpha,lambda,P,W,balanced,macro,worst,PLCC,RMSE
AGIQA-3K-full,RN50,42,gc,1.0,1.0,0.8471449025051028,0.6142271555781712,0.730686029041637,0.5723785732481282,0.18517863469072374,0.8865635263268052,0.4564249871441886
AGIQA-3K-full,RN50,42,pooled_only,1.0,1.0,0.8429716558478718,0.6011697558499184,0.7220707058488951,0.5654924451322684,0.17967971196221566,0.8855525912556234,0.4581720993635163
AGIQA-3K-full,RN50,42,uncentered,1.0,1.0,0.8457480657829812,0.6075704544469447,0.726659260114963,0.5646426181081085,0.16499983929809908,0.8874201220563154,0.45501666307686905
AGIQA-3K-full,RN50,42,equal_generator,1.0,1.0,0.8416964903929397,0.5961200052828322,0.7189082478378859,0.5700627011931765,0.18501784747643987,0.8846566624462797,0.45985690984874766
AGIQA-3K-full,RN50,42,within_only,1.0,1.0,0.8324800296872191,0.634272641024932,0.7333763353560756,0.614670210286772,0.31228092758211656,0.8465084707515087,0.5674817861143495
AGIQA-3K-full,RN50,43,gc,3.0,3.0,0.8397751592284882,0.6016647478907402,0.7207199535596143,0.6061287749636937,0.4264364213509806,0.8877278052750538,0.46860168358523385
AGIQA-3K-full,RN50,43,pooled_only,3.0,3.0,0.8268466946396797,0.5579998611513376,0.6924232778955086,0.5867265589898931,0.42834977381839506,0.88557852947533,0.4679221185589027
AGIQA-3K-full,RN50,43,uncentered,3.0,3.0,0.8379921769433377,0.5895807102253532,0.7137864435843455,0.5883001763450971,0.4046820861542429,0.891822330564887,0.4524920084929976
AGIQA-3K-full,RN50,43,equal_generator,3.0,3.0,0.832380711908073,0.577870756477064,0.7051257341925685,0.5991852942783485,0.4197477270111115,0.88453579705795,0.4754376715750983
AGIQA-3K-full,RN50,43,within_only,3.0,3.0,0.8223655289255696,0.603424154511633,0.7128948417186013,0.6216990098452995,0.4544935646756718,0.8466191167407664,0.5783729435234439
AGIQA-3K-full,RN50,44,gc,100.0,100.0,0.8362622071278728,0.6035188992807177,0.7198905532042952,0.5973124108663166,0.3585014873041575,0.8688990040510604,0.5632004469500119
AGIQA-3K-full,RN50,44,pooled_only,100.0,100.0,0.7429899032985542,0.3346630808611161,0.5388264920798351,0.43712951119569105,0.2713995875563868,0.8392328874350677,0.7995962403330233
AGIQA-3K-full,RN50,44,uncentered,100.0,100.0,0.8392018934391985,0.5781429576326457,0.708672425535922,0.559378275330244,0.3645046147815149,0.8986660168088336,0.44697121165110254
AGIQA-3K-full,RN50,44,equal_generator,100.0,100.0,0.8262768938394145,0.5639472241744378,0.6951120590069262,0.5888030584333809,0.34343596756589695,0.8660020759216054,0.5789529502601727
AGIQA-3K-full,RN50,44,within_only,100.0,100.0,0.8341199531524675,0.6043761357230403,0.7192480444377538,0.6005105017184084,0.3602379612974682,0.8640124863921771,0.574560474605594
AGIQA-3K-full,RN50,45,gc,30.0,30.0,0.8541922442026765,0.6758992948263439,0.7650457695145102,0.630791830725447,0.4179222087440263,0.8783386251008196,0.5327604713430342
AGIQA-3K-full,RN50,45,pooled_only,30.0,30.0,0.794943705068475,0.5066976893440899,0.6508206972062824,0.5191362535458938,0.3556623960297456,0.8634267202578882,0.6221418265593113
AGIQA-3K-full,RN50,45,uncentered,30.0,30.0,0.8574795888094504,0.6412586452696476,0.749369117039549,0.5967381106444164,0.35857278500218487,0.9003207382137862,0.44041079706846736
AGIQA-3K-full,RN50,45,equal_generator,30.0,30.0,0.8470956572192373,0.6515406280338247,0.749318142626531,0.6273353651118754,0.41628210004132576,0.8774401101450747,0.5409746854473572
AGIQA-3K-full,RN50,45,within_only,30.0,30.0,0.8466545254503806,0.6783407723811368,0.7624976489157587,0.6344524698056925,0.4191442505225091,0.8645197642755656,0.5650199454886552
AGIQA-3K-full,RN50,46,gc,1.0,1.0,0.8570640502890723,0.6683920662897915,0.7627280582894319,0.6540534008578903,0.44765848042911033,0.90083168144472,0.44774509103247123
AGIQA-3K-full,RN50,46,pooled_only,1.0,1.0,0.8546214090522967,0.6581753275147696,0.7563983682835331,0.6424185653483474,0.4493950242273339,0.9010717999155303,0.4453342227868597
AGIQA-3K-full,RN50,46,uncentered,1.0,1.0,0.8573444587039047,0.665778993816354,0.7615617262601293,0.6489445685818807,0.4559392216891581,0.9028348697156325,0.4403198853616469
AGIQA-3K-full,RN50,46,equal_generator,1.0,1.0,0.8538227995590605,0.6572221179561429,0.7555224587576017,0.6500549034560207,0.4608755082267012,0.8996388100498467,0.4505702752567058
AGIQA-3K-full,RN50,46,within_only,1.0,1.0,0.8236514610746984,0.6585641032605948,0.7411077821676466,0.6579946318271939,0.4354865947323021,0.8418979192277692,0.6046037640268176
AIGCIQA2023,RN50,42,gc,10.0,3.0,0.7987785913200601,0.4474910796786093,0.6231348354993347,0.447491038123862,0.23206446235065292,0.8229534772520792,0.0592042398481748
AIGCIQA2023,RN50,42,pooled_only,10.0,3.0,0.7813525298132801,0.4069982564571818,0.5941753931352309,0.40699781056113,0.21442365136344613,0.8090146893564605,0.06099404927819948
AIGCIQA2023,RN50,42,uncentered,10.0,3.0,0.8004321535680688,0.4520571734224711,0.62624466349527,0.4520570639060726,0.2557932759099749,0.8286670791900832,0.05422718738193548
AIGCIQA2023,RN50,42,equal_generator,10.0,3.0,0.7987785913200601,0.4474910796786093,0.6231348354993347,0.447491038123862,0.23206446235065292,0.8229534772520793,0.05920423984817477
AIGCIQA2023,RN50,42,within_only,10.0,3.0,0.7306576909452563,0.42310461958208173,0.576881155263669,0.4231046580407451,0.1786607390941928,0.7136245965032562,0.0744908404675093
AIGCIQA2023,RN50,43,gc,1.0,1.0,0.8015342196570447,0.40957673427804026,0.6055554769675425,0.40957673427804014,0.05557099194220616,0.8086203714135622,0.05432022915329479
AIGCIQA2023,RN50,43,pooled_only,1.0,1.0,0.7992289035152021,0.3982587755858109,0.5987438395505065,0.39825877558581085,0.05790497360377882,0.8071006523344273,0.05424722658421358
AIGCIQA2023,RN50,43,uncentered,1.0,1.0,0.796454705154618,0.3947392794294712,0.5955969922920445,0.39473927942947107,0.023951097527090855,0.8058621494406206,0.05486968973840891
AIGCIQA2023,RN50,43,equal_generator,1.0,1.0,0.8015342196570447,0.40957673427804026,0.6055554769675425,0.40957673427804014,0.05557099194220616,0.808620371413562,0.0543202291532948
AIGCIQA2023,RN50,43,within_only,1.0,1.0,0.7553885446646966,0.4748726498101325,0.6151305972374146,0.47487264981013233,0.10714087246457348,0.7398873522845109,0.06509751887274844
AIGCIQA2023,RN50,44,gc,1.0,0.03,0.7924204662073011,0.3959988885801612,0.5942096773937311,0.3959988885801611,0.03289802722978605,0.8129949287855567,0.0562508311033714
AIGCIQA2023,RN50,44,pooled_only,1.0,0.03,0.7920987044653123,0.3957766046123924,0.5939376545388524,0.3957766046123923,0.03328702417338149,0.8129507135609825,0.05625368819608479
AIGCIQA2023,RN50,44,uncentered,1.0,0.03,0.7923363606200666,0.39590627026025754,0.5941213154401621,0.3959062702602574,0.03256460127813281,0.813129413236216,0.05622464648089721
AIGCIQA2023,RN50,44,equal_generator,1.0,0.03,0.7924204662073011,0.3959988885801612,0.5942096773937311,0.3959988885801611,0.03289802722978605,0.8129949287855567,0.056250831103371424
AIGCIQA2023,RN50,44,within_only,1.0,0.03,0.5536321010707388,0.293248124479022,0.42344011277488036,0.2932481244790219,-0.1317588218949708,0.5429163639467293,0.08769787415217146
AIGCIQA2023,RN50,45,gc,3.0,3.0,0.8022016630786761,0.43538019820320467,0.6187909306409404,0.43538019820320456,0.11714365101417058,0.8126563497771838,0.05700656981443782
AIGCIQA2023,RN50,45,pooled_only,3.0,3.0,0.8009683716695346,0.4186903769565621,0.6098293743130483,0.4186903769565619,0.09274798555154208,0.8189777549004265,0.05658786578990221
AIGCIQA2023,RN50,45,uncentered,3.0,3.0,0.8064712433480712,0.4379457256645365,0.6222084845063038,0.4379457256645363,0.12414559599888855,0.8233972857999112,0.054710554474907566
AIGCIQA2023,RN50,45,equal_generator,3.0,3.0,0.8022016630786761,0.43538019820320467,0.6187909306409404,0.43538019820320456,0.11714365101417058,0.8126563497771837,0.05700656981443782
AIGCIQA2023,RN50,45,within_only,3.0,3.0,0.7077899263626006,0.411762526627767,0.5597762264951838,0.4117625266277669,0.0939149763823284,0.7079869853977709,0.07117330878970415
AIGCIQA2023,RN50,46,gc,1.0,3.0,0.7265287540798927,0.3032138557006576,0.5148713048902751,0.3032138557006575,0.1523756599055293,0.7292034082416587,0.0684493943869718
AIGCIQA2023,RN50,46,pooled_only,1.0,3.0,0.7563175641787361,0.3540613133277763,0.5551894387532562,0.35406131332777613,0.1814948596832453,0.7752345293184777,0.06407623537109561
AIGCIQA2023,RN50,46,uncentered,1.0,3.0,0.7354316005524735,0.29924979160878024,0.5173406960806268,0.2992497916087802,0.1335370936371214,0.7457453756263466,0.0668916876168118
AIGCIQA2023,RN50,46,equal_generator,1.0,3.0,0.7265287540798927,0.3032138557006576,0.5148713048902751,0.3032138557006575,0.1523756599055293,0.7292034082416581,0.06844939438697184
AIGCIQA2023,RN50,46,within_only,1.0,3.0,0.584927095630882,0.31169769380383444,0.4483123947173582,0.31169769380383433,0.11503195332036674,0.5799551798506616,0.08102186970928392
AGIQA-3K,ViT-B-32,42,gc,100.0,30.0,0.8501271222028322,0.6292071203710612,0.7396671212869467,0.584676147590646,0.2877287199609709,0.8587954500722166,0.6637945838161623
AGIQA-3K,ViT-B-32,42,pooled_only,100.0,30.0,0.794917965310613,0.44167194971961227,0.6182949575151127,0.42073627936407365,0.07421937811343064,0.8401578838741154,0.8765799973892437
AGIQA-3K,ViT-B-32,42,uncentered,100.0,30.0,0.8460235688547383,0.5708280206868631,0.7084257947708007,0.5245934495294994,0.17887577589079637,0.8782345982684501,0.5155485627158937
AGIQA-3K,ViT-B-32,42,equal_generator,100.0,30.0,0.847409280597718,0.6215509033892539,0.734480091993486,0.5832783578795055,0.284320031018153,0.859283112694272,0.6758519296830475
AGIQA-3K,ViT-B-32,42,within_only,100.0,30.0,0.8425463398672359,0.6322498997359817,0.7373981198016089,0.5884274937998529,0.2970865358322916,0.8471656472327627,0.6952435377238328
AGIQA-3K,ViT-B-32,43,gc,3.0,10.0,0.8625525021709988,0.5994069224236774,0.730979712297338,0.576533028344105,0.4011447958783506,0.8865846987262787,0.5117958494030316
AGIQA-3K,ViT-B-32,43,pooled_only,3.0,10.0,0.8588699554714914,0.5814454943946911,0.7201577249330913,0.5732830521138527,0.36069315602558144,0.8987876678863398,0.4757584769048098
AGIQA-3K,ViT-B-32,43,uncentered,3.0,10.0,0.865000654821313,0.5818726106400107,0.7234366327306618,0.5578542210789786,0.3391939802737458,0.902222640483929,0.4587412201380918
AGIQA-3K,ViT-B-32,43,equal_generator,3.0,10.0,0.85979846675079,0.5950393143666987,0.7274188905587443,0.5772580405287783,0.39107080242175724,0.8861385920157693,0.5157098858949407
AGIQA-3K,ViT-B-32,43,within_only,3.0,10.0,0.8396728232954177,0.6024280496486367,0.7210504364720272,0.5814099437902436,0.40803471139273156,0.845790442009892,0.6112019796416054
AGIQA-3K,ViT-B-32,44,gc,100.0,30.0,0.8664176073576599,0.6294368175103453,0.7479272124340026,0.5666695471018833,0.22255808347598996,0.8761989580646453,0.6668407512950283
AGIQA-3K,ViT-B-32,44,pooled_only,100.0,30.0,0.8160939776917484,0.45766602041060944,0.6368799990511789,0.4186958251724153,0.05346088914590858,0.8633178446609626,0.8846916257956878
AGIQA-3K,ViT-B-32,44,uncentered,100.0,30.0,0.8644988720004869,0.5865571504582002,0.7255280112293436,0.5173195720132638,0.17970897984475795,0.8996901787335791,0.4819146200901861
AGIQA-3K,ViT-B-32,44,equal_generator,100.0,30.0,0.8656200318421386,0.6244830174658118,0.7450515246539753,0.5707694776524818,0.23215692582790196,0.8781855569136885,0.6788124159458391
AGIQA-3K,ViT-B-32,44,within_only,100.0,30.0,0.8589356316474277,0.6293302841760543,0.744132957911741,0.5661811492661127,0.22529142216916423,0.8632313165888202,0.7039032442363241
AGIQA-3K,ViT-B-32,45,gc,10.0,30.0,0.8835484272075124,0.7081932509341279,0.7958708390708201,0.6329517906639678,0.3890595114759132,0.8829345431867273,0.5352760198164331
AGIQA-3K,ViT-B-32,45,pooled_only,10.0,30.0,0.8688854390452734,0.6224429641607014,0.7456642016029874,0.5546321506211916,0.31954784557616234,0.8946120026553771,0.5323885786890229
AGIQA-3K,ViT-B-32,45,uncentered,10.0,30.0,0.8973982621800745,0.6927915491599399,0.7950949056700072,0.6154634182255342,0.34656140067946595,0.9149053236061697,0.4313533356724842
AGIQA-3K,ViT-B-32,45,equal_generator,10.0,30.0,0.8861830952529204,0.7092304110242534,0.7977067531385869,0.6369215905898158,0.38151822734290763,0.8856392562296992,0.537586234374056
AGIQA-3K,ViT-B-32,45,within_only,10.0,30.0,0.8688857726636906,0.706062426874875,0.7874740997692828,0.6325381020525702,0.39389944009858846,0.8600763506730846,0.5878564698875997
AGIQA-3K,ViT-B-32,46,gc,1.0,0.1,0.8769371608689525,0.6562647384658747,0.7666009496674135,0.6111297052178535,0.4156128157081873,0.9018697577155981,0.4725629037329261
AGIQA-3K,ViT-B-32,46,pooled_only,1.0,0.1,0.8761304857082682,0.6545266543688967,0.7653285700385825,0.6096698893817131,0.41011376034714586,0.9016762007306742,0.47287096858070216
AGIQA-3K,ViT-B-32,46,uncentered,1.0,0.1,0.8767284214056721,0.6556980519077915,0.7662132366567318,0.6106175516713789,0.4144068825149765,0.9019380261389409,0.4720456672464889
AGIQA-3K,ViT-B-32,46,equal_generator,1.0,0.1,0.8767524163429877,0.6557323965476753,0.7662424064453315,0.6110854699388666,0.41681874890139814,0.9018317387521156,0.47268161520299184
AGIQA-3K,ViT-B-32,46,within_only,1.0,0.1,0.8306879911317988,0.6361718975395537,0.7334299443356762,0.6029184390841463,0.37467540357598966,0.8352179486469833,0.8257555273613149
AIGCIQA2023,ViT-B-32,42,gc,10.0,3.0,0.803682693261697,0.46524605271508607,0.6344643729883915,0.4652458779181117,0.2536815782161711,0.8127309273931415,0.06074266997887729
AIGCIQA2023,ViT-B-32,42,pooled_only,10.0,3.0,0.7795472174134087,0.4129999374835965,0.5962735774485026,0.4129994527279423,0.20364272914898232,0.7917247013573674,0.0634410620646299
AIGCIQA2023,ViT-B-32,42,uncentered,10.0,3.0,0.7972351122330636,0.4406280462826629,0.6189315792578632,0.44062773830609525,0.2782439566546262,0.8148803877361316,0.05611175484859599
AIGCIQA2023,ViT-B-32,42,equal_generator,10.0,3.0,0.803682693261697,0.46524605271508607,0.6344643729883915,0.4652458779181117,0.2536815782161711,0.8127309273931415,0.06074266997887727
AIGCIQA2023,ViT-B-32,42,within_only,10.0,3.0,0.7255794621344483,0.47618430162279557,0.6008818818786219,0.47618421859296717,0.2492914698527368,0.7092033329800747,0.07461923878973156
AIGCIQA2023,ViT-B-32,43,gc,3.0,3.0,0.8018716708205054,0.4394924516069279,0.6206820612137166,0.4394924516069278,0.1706585162545151,0.8056101156047796,0.05518507159210021
AIGCIQA2023,ViT-B-32,43,pooled_only,3.0,3.0,0.7844435528051915,0.3774196536074836,0.5809316032063375,0.3774196536074835,0.028118921922756314,0.7907965325249904,0.0558992524528074
AIGCIQA2023,ViT-B-32,43,uncentered,3.0,3.0,0.7905472521650116,0.3950541817171437,0.5928007169410776,0.39505418171714357,0.10519588774659626,0.7992629340936143,0.05479792997196798
AIGCIQA2023,ViT-B-32,43,equal_generator,3.0,3.0,0.8018716708205054,0.4394924516069279,0.6206820612137166,0.4394924516069278,0.1706585162545151,0.8056101156047796,0.05518507159210021
AIGCIQA2023,ViT-B-32,43,within_only,3.0,3.0,0.7395118789496833,0.5061591182735946,0.6228354986116389,0.5061591182735944,0.2687968880244512,0.7206426241056325,0.06748582892511738
AIGCIQA2023,ViT-B-32,44,gc,1.0,0.1,0.7673690897820714,0.36580531629156254,0.566587203036817,0.36580531629156243,-0.05218116143373158,0.7798673105136562,0.06018642347889752
AIGCIQA2023,ViT-B-32,44,pooled_only,1.0,0.1,0.7680406484617938,0.3633972399740669,0.5657189442179303,0.3633972399740668,-0.06285079188663516,0.7802645700982329,0.0601482111751463
AIGCIQA2023,ViT-B-32,44,uncentered,1.0,0.1,0.7680177573386627,0.3663239788830231,0.5671708681108429,0.36632397888302304,-0.044456793553764924,0.7804226753219193,0.06011790818019159
AIGCIQA2023,ViT-B-32,44,equal_generator,1.0,0.1,0.7673690897820714,0.36580531629156254,0.566587203036817,0.36580531629156243,-0.05218116143373158,0.7798673105136561,0.060186423478897515
AIGCIQA2023,ViT-B-32,44,within_only,1.0,0.1,0.5833344907496715,0.34848569046957495,0.4659100906096232,0.34848569046957484,-0.1707140872464573,0.5784266849175727,0.08346618481709957
AIGCIQA2023,ViT-B-32,45,gc,1.0,3.0,0.7684326267949599,0.39080300083356495,0.5796178138142625,0.3908030008335648,0.1308696860238955,0.781581827429565,0.060139146005828224
AIGCIQA2023,ViT-B-32,45,pooled_only,1.0,3.0,0.7946048966427212,0.427479855515421,0.6110423760790711,0.42747985551542084,0.16293414837454845,0.8103618244118228,0.05654947574948522
AIGCIQA2023,ViT-B-32,45,uncentered,1.0,3.0,0.7773799694956495,0.39455404278966383,0.5859670061426566,0.3945540427896637,0.13298138371769933,0.7945326774326747,0.05880408898101757
AIGCIQA2023,ViT-B-32,45,equal_generator,1.0,3.0,0.7684326267949599,0.39080300083356495,0.5796178138142625,0.3908030008335648,0.1308696860238955,0.7815818274295654,0.06013914600582819
AIGCIQA2023,ViT-B-32,45,within_only,1.0,3.0,0.677681412150814,0.3941187366861166,0.5359000744184653,0.39411873668611647,0.11975548763545427,0.6792913522212417,0.07202134735625174
AIGCIQA2023,ViT-B-32,46,gc,3.0,1.0,0.7594418166806843,0.35570065759007136,0.5575712371353778,0.35570065759007125,0.18705195887746592,0.7774436448036143,0.06507867287284616
AIGCIQA2023,ViT-B-32,46,pooled_only,3.0,1.0,0.7546081888491939,0.3487172362693341,0.551662712559264,0.348717236269334,0.2004445679355376,0.7741997958493406,0.06532549389341538
AIGCIQA2023,ViT-B-32,46,uncentered,3.0,1.0,0.7605840580045629,0.3504399370195425,0.5555119975120527,0.35043993701954235,0.1733814948596832,0.7826170258366862,0.0636727395639208
AIGCIQA2023,ViT-B-32,46,equal_generator,3.0,1.0,0.7594418166806843,0.35570065759007136,0.5575712371353778,0.35570065759007125,0.18705195887746592,0.7774436448036142,0.06507867287284616
AIGCIQA2023,ViT-B-32,46,within_only,3.0,1.0,0.6003981512203027,0.387227933685283,0.4938130424527929,0.38722793368528285,0.16821339260905804,0.5972076362995,0.08328460931243131
