key,dataset,seed,backbone,regime,family,delta,alpha,lambda,P,W,balanced,macro,worst,PLCC,RMSE,centered_PLCC,heldout
agiqa3k__rn50__split42__logo_AttnGAN,AGIQA-3K,42,RN50,logo,cc_joint,0.01,1.0,0.3,0.39379912426815683,0.39379912426815683,0.39379912426815683,0.39379912426815683,0.39379912426815683,0.44562073781148764,0.8302394883366003,0.4456207378114878,AttnGAN
agiqa3k__rn50__split42__logo_AttnGAN,AGIQA-3K,42,RN50,logo,ridge_matched,0.01,0.9900990099009901,0.0,0.4021626797013486,0.4021626797013486,0.4021626797013486,0.4021626797013486,0.4021626797013486,0.451011818888013,0.8228327660738726,0.451011818888013,AttnGAN
agiqa3k__rn50__split42__logo_AttnGAN,AGIQA-3K,42,RN50,logo,sample_joint,0.01,3.0,3.0,0.39590006894904944,0.39590006894904944,0.39590006894904944,0.39590006894904944,0.39590006894904944,0.44921511590994084,0.8544017004394663,0.44921511590994084,AttnGAN
agiqa3k__rn50__split42__logo_AttnGAN,AGIQA-3K,42,RN50,logo,uncentered_joint,0.01,1.0,0.3,0.39332822287416364,0.39332822287416364,0.39332822287416364,0.39332822287416364,0.39332822287416364,0.4448639497962266,0.8235833137590312,0.44486394979622657,AttnGAN
agiqa3k__rn50__split42__logo_AttnGAN,AGIQA-3K,42,RN50,logo,cc_joint,0.02,1.0,0.3,0.39379912426815683,0.39379912426815683,0.39379912426815683,0.39379912426815683,0.39379912426815683,0.44562073781148764,0.8302394883366003,0.4456207378114878,AttnGAN
agiqa3k__rn50__split42__logo_AttnGAN,AGIQA-3K,42,RN50,logo,ridge_matched,0.02,0.9900990099009901,0.0,0.4021626797013486,0.4021626797013486,0.4021626797013486,0.4021626797013486,0.4021626797013486,0.451011818888013,0.8228327660738726,0.451011818888013,AttnGAN
agiqa3k__rn50__split42__logo_AttnGAN,AGIQA-3K,42,RN50,logo,sample_joint,0.02,3.0,3.0,0.39590006894904944,0.39590006894904944,0.39590006894904944,0.39590006894904944,0.39590006894904944,0.44921511590994084,0.8544017004394663,0.44921511590994084,AttnGAN
agiqa3k__rn50__split42__logo_AttnGAN,AGIQA-3K,42,RN50,logo,uncentered_joint,0.02,1.0,0.3,0.39332822287416364,0.39332822287416364,0.39332822287416364,0.39332822287416364,0.39332822287416364,0.4448639497962266,0.8235833137590312,0.44486394979622657,AttnGAN
agiqa3k__rn50__split42__logo_AttnGAN,AGIQA-3K,42,RN50,logo,cc_joint,0.05,1.0,0.3,0.39379912426815683,0.39379912426815683,0.39379912426815683,0.39379912426815683,0.39379912426815683,0.44562073781148764,0.8302394883366003,0.4456207378114878,AttnGAN
agiqa3k__rn50__split42__logo_AttnGAN,AGIQA-3K,42,RN50,logo,ridge_matched,0.05,0.9900990099009901,0.0,0.4021626797013486,0.4021626797013486,0.4021626797013486,0.4021626797013486,0.4021626797013486,0.451011818888013,0.8228327660738726,0.451011818888013,AttnGAN
agiqa3k__rn50__split42__logo_AttnGAN,AGIQA-3K,42,RN50,logo,sample_joint,0.05,3.0,3.0,0.39590006894904944,0.39590006894904944,0.39590006894904944,0.39590006894904944,0.39590006894904944,0.44921511590994084,0.8544017004394663,0.44921511590994084,AttnGAN
agiqa3k__rn50__split42__logo_AttnGAN,AGIQA-3K,42,RN50,logo,uncentered_joint,0.05,1.0,0.3,0.39332822287416364,0.39332822287416364,0.39332822287416364,0.39332822287416364,0.39332822287416364,0.4448639497962266,0.8235833137590312,0.44486394979622657,AttnGAN
agiqa3k__rn50__split42__logo_DALLE2,AGIQA-3K,42,RN50,logo,cc_joint,0.0,10.0,10.0,0.5265045881681485,0.5265045881681485,0.5265045881681485,0.5265045881681485,0.5265045881681485,0.6014377386714278,0.5393258505148308,0.601437738671428,DALLE2
agiqa3k__rn50__split42__logo_DALLE2,AGIQA-3K,42,RN50,logo,ridge_matched,0.0,0.297029702970297,0.0,0.4968988932658419,0.4968988932658419,0.4968988932658419,0.4968988932658419,0.4968988932658419,0.5727508558313302,0.5490141167152577,0.5727508558313301,DALLE2
agiqa3k__rn50__split42__logo_DALLE2,AGIQA-3K,42,RN50,logo,sample_joint,0.0,30.0,30.0,0.5401162209382567,0.5401162209382567,0.5401162209382567,0.5401162209382567,0.5401162209382567,0.6046277478169071,0.540353654997898,0.6046277478169071,DALLE2
agiqa3k__rn50__split42__logo_DALLE2,AGIQA-3K,42,RN50,logo,uncentered_joint,0.0,3.0,1.0,0.4671696977914815,0.4671696977914815,0.4671696977914815,0.4671696977914815,0.4671696977914815,0.5490428084905288,0.5693278877098086,0.5490428084905289,DALLE2
agiqa3k__rn50__split42__logo_DALLE2,AGIQA-3K,42,RN50,logo,cc_joint,0.005,10.0,10.0,0.5265045881681485,0.5265045881681485,0.5265045881681485,0.5265045881681485,0.5265045881681485,0.6014377386714278,0.5393258505148308,0.601437738671428,DALLE2
agiqa3k__rn50__split42__logo_DALLE2,AGIQA-3K,42,RN50,logo,ridge_matched,0.005,0.297029702970297,0.0,0.4968988932658419,0.4968988932658419,0.4968988932658419,0.4968988932658419,0.4968988932658419,0.5727508558313302,0.5490141167152577,0.5727508558313301,DALLE2
agiqa3k__rn50__split42__logo_DALLE2,AGIQA-3K,42,RN50,logo,sample_joint,0.005,30.0,30.0,0.5401162209382567,0.5401162209382567,0.5401162209382567,0.5401162209382567,0.5401162209382567,0.6046277478169071,0.540353654997898,0.6046277478169071,DALLE2
agiqa3k__rn50__split42__logo_DALLE2,AGIQA-3K,42,RN50,logo,uncentered_joint,0.005,3.0,1.0,0.4671696977914815,0.4671696977914815,0.4671696977914815,0.4671696977914815,0.4671696977914815,0.5490428084905288,0.5693278877098086,0.5490428084905289,DALLE2
agiqa3k__rn50__split42__logo_DALLE2,AGIQA-3K,42,RN50,logo,cc_joint,0.01,10.0,10.0,0.5265045881681485,0.5265045881681485,0.5265045881681485,0.5265045881681485,0.5265045881681485,0.6014377386714278,0.5393258505148308,0.601437738671428,DALLE2
agiqa3k__rn50__split42__logo_DALLE2,AGIQA-3K,42,RN50,logo,ridge_matched,0.01,0.297029702970297,0.0,0.4968988932658419,0.4968988932658419,0.4968988932658419,0.4968988932658419,0.4968988932658419,0.5727508558313302,0.5490141167152577,0.5727508558313301,DALLE2
agiqa3k__rn50__split42__logo_DALLE2,AGIQA-3K,42,RN50,logo,sample_joint,0.01,30.0,30.0,0.5401162209382567,0.5401162209382567,0.5401162209382567,0.5401162209382567,0.5401162209382567,0.6046277478169071,0.540353654997898,0.6046277478169071,DALLE2
