key,dataset,seed,backbone,regime,family,candidate_index,alpha,lambda,P,W,balanced,macro,worst,PLCC,RMSE,centered_PLCC,selected,validation_only,config_sha256,heldout
agiqa3k__rn50__split42,AGIQA-3K,42,RN50,core,cc_joint,16,1.0,30.0,0.8349702552335201,0.5444125047993499,0.689691380016435,0.5123665764659302,0.23615384615384616,0.8695336886607989,0.5683050391514092,0.6544711234463003,False,True,f8148c801d726bff2c867d84f11052caa0bb2eaddbe4d7d38ee57cc353706885,
agiqa3k__rn50__split42,AGIQA-3K,42,RN50,core,cc_joint,17,1.0,100.0,0.8171962791587789,0.529214658069111,0.673205468613945,0.4988945260119581,0.18,0.8437908896039151,0.6138057745503672,0.6244703880853318,False,True,f8148c801d726bff2c867d84f11052caa0bb2eaddbe4d7d38ee57cc353706885,
agiqa3k__rn50__split42,AGIQA-3K,42,RN50,core,cc_joint,18,3.0,0.0,0.856599720511273,0.5658725968087955,0.7112361586600342,0.5402247752458486,0.19923076923076924,0.9055023928963065,0.47700868620360004,0.6718258877235402,False,True,f8148c801d726bff2c867d84f11052caa0bb2eaddbe4d7d38ee57cc353706885,
agiqa3k__rn50__split42,AGIQA-3K,42,RN50,core,cc_joint,19,3.0,0.03,0.8570689853714327,0.5704136401691561,0.7137413127702944,0.5427174935280404,0.19923076923076924,0.9056280915777355,0.47688822076411713,0.6727173641007131,False,True,f8148c801d726bff2c867d84f11052caa0bb2eaddbe4d7d38ee57cc353706885,
agiqa3k__rn50__split42,AGIQA-3K,42,RN50,core,cc_joint,20,3.0,0.1,0.857632786599052,0.5734898308326261,0.715561308715839,0.544891509649425,0.20461538461538462,0.905886674229144,0.47668060129548656,0.6746374634117481,False,True,f8148c801d726bff2c867d84f11052caa0bb2eaddbe4d7d38ee57cc353706885,
agiqa3k__rn50__split42,AGIQA-3K,42,RN50,core,cc_joint,21,3.0,0.3,0.85819772681905,0.5784703300020537,0.7183340284105519,0.5526525987408988,0.22153846153846155,0.9064101938688401,0.47653790665269014,0.6791223848793483,False,True,f8148c801d726bff2c867d84f11052caa0bb2eaddbe4d7d38ee57cc353706885,
agiqa3k__rn50__split42,AGIQA-3K,42,RN50,core,cc_joint,22,3.0,1.0,0.862419971568109,0.5846227113289938,0.7235213414485514,0.5574506729265215,0.2569230769230769,0.9068276923757664,0.47886429785493023,0.6880660059734232,False,True,f8148c801d726bff2c867d84f11052caa0bb2eaddbe4d7d38ee57cc353706885,
agiqa3k__rn50__split42,AGIQA-3K,42,RN50,core,cc_joint,23,3.0,3.0,0.8619541236850864,0.595682349190517,0.7288182364378017,0.5757247630262416,0.2953846153846154,0.9044547838747653,0.49110216560871645,0.6949073928189273,False,True,f8148c801d726bff2c867d84f11052caa0bb2eaddbe4d7d38ee57cc353706885,
agiqa3k__rn50__split42,AGIQA-3K,42,RN50,core,cc_joint,24,3.0,10.0,0.8551828139917614,0.5855382442645504,0.7203605291281558,0.562460676972405,0.26461538461538464,0.8942800307327843,0.524457280503382,0.691993360785737,False,True,f8148c801d726bff2c867d84f11052caa0bb2eaddbe4d7d38ee57cc353706885,
agiqa3k__rn50__split42,AGIQA-3K,42,RN50,core,cc_joint,25,3.0,30.0,0.8446653583638114,0.5788731644936986,0.711769261428755,0.5484864256113776,0.26076923076923075,0.8780025214947367,0.5646447058215158,0.679064785103449,False,True,f8148c801d726bff2c867d84f11052caa0bb2eaddbe4d7d38ee57cc353706885,
agiqa3k__rn50__split42,AGIQA-3K,42,RN50,core,cc_joint,26,3.0,100.0,0.827952923186325,0.5432772439592597,0.6856150835727923,0.5138818775325914,0.2169230769230769,0.8572713209251779,0.6018850997506408,0.654981788055675,False,True,f8148c801d726bff2c867d84f11052caa0bb2eaddbe4d7d38ee57cc353706885,
agiqa3k__rn50__split42,AGIQA-3K,42,RN50,core,cc_joint,27,10.0,0.0,0.8379327744113735,0.5152985574486514,0.6766156659300124,0.4999099954451647,0.20923076923076922,0.8943473174603124,0.5410577871128298,0.6328956785143285,False,True,f8148c801d726bff2c867d84f11052caa0bb2eaddbe4d7d38ee57cc353706885,
agiqa3k__rn50__split42,AGIQA-3K,42,RN50,core,cc_joint,28,10.0,0.03,0.8386594515491936,0.5165070609235861,0.6775832562363899,0.5023889385135043,0.20923076923076922,0.8946723162509017,0.5406061551309995,0.6346087479895209,False,True,f8148c801d726bff2c867d84f11052caa0bb2eaddbe4d7d38ee57cc353706885,
