run_id,dataset,split_seed,backbone,regime,heldout,source,method,alpha,lambda,P,W,balanced,macro,worst,PLCC,RMSE,centered_PLCC
agiqa3k__rn50__split42__transfer_from_aigciqa2023__ridge_fixed__jointsearch63,AGIQA-3K,42,RN50,transfer,,AIGCIQA2023,ridge_fixed,10.0,0.0,0.739813580855599,0.5079055278580881,0.6238595543568435,0.4508509990038299,0.2976653698037135,0.7684918693939415,2.1926541250353315,0.5618045646976637
agiqa3k__rn50__split42__transfer_from_aigciqa2023__cc_alpha10__jointsearch63,AGIQA-3K,42,RN50,transfer,,AIGCIQA2023,cc_alpha10,10.0,3.0,0.7458037270990825,0.48686013191507393,0.6163319295070782,0.44172933657194613,0.2607460212817309,0.7664694240890758,2.1865583734084573,0.5776072691256242
agiqa3k__rn50__split42__transfer_from_aigciqa2023__ridge_tuned15__jointsearch63,AGIQA-3K,42,RN50,transfer,,AIGCIQA2023,ridge_tuned15,2.5,0.0,0.751083528377593,0.47000553236619524,0.6105445303718942,0.4217303968174822,0.22446868553373805,0.7814209730872692,2.179720109090814,0.5702258388939898
agiqa3k__rn50__split42__transfer_from_aigciqa2023__cc_joint__jointsearch63,AGIQA-3K,42,RN50,transfer,,AIGCIQA2023,cc_joint,10.0,3.0,0.7458037270990825,0.48686013191507393,0.6163319295070782,0.44172933657194613,0.2607460212817309,0.7664694240890758,2.1865583734084573,0.5776072691256242
agiqa3k__rn50__split42__transfer_from_aigciqa2023__ridge_matched__jointsearch63,AGIQA-3K,42,RN50,transfer,,AIGCIQA2023,ridge_matched,2.727272727272727,0.0,0.750695039476003,0.4729818288421436,0.6118384341590734,0.4236399038407856,0.23139798425434996,0.7815320392733266,2.180415895982379,0.5708136744916879
agiqa3k__rn50__split42__transfer_from_aigciqa2023__sample_joint__jointsearch63,AGIQA-3K,42,RN50,transfer,,AIGCIQA2023,sample_joint,10.0,3.0,0.7458037270990825,0.48686013191507393,0.6163319295070782,0.44172933657194613,0.2607460212817309,0.7664694240890758,2.1865583734084573,0.577607269125624
agiqa3k__rn50__split42__transfer_from_aigciqa2023__uncentered_joint__jointsearch63,AGIQA-3K,42,RN50,transfer,,AIGCIQA2023,uncentered_joint,3.0,0.1,0.750695039476003,0.4729818288421436,0.6118384341590734,0.4236399038407856,0.23139798425434996,0.7815320392733272,2.1804158959823785,0.5708136744916857
agiqa3k__rn50__split42__transfer_from_aigciqa2023__sample_at_cc__jointsearch63,AGIQA-3K,42,RN50,transfer,,AIGCIQA2023,sample_at_cc,10.0,3.0,0.7458037270990825,0.48686013191507393,0.6163319295070782,0.44172933657194613,0.2607460212817309,0.7664694240890758,2.1865583734084573,0.577607269125624
agiqa3k__rn50__split42__transfer_from_aigciqa2023__uncentered_at_cc__jointsearch63,AGIQA-3K,42,RN50,transfer,,AIGCIQA2023,uncentered_at_cc,10.0,3.0,0.751083528377593,0.47000553236619524,0.6105445303718942,0.4217303968174822,0.22446868553373805,0.7814209730872691,2.1797201090908134,0.5702258388939898
agiqa3k__rn50__split42__transfer_from_aigciqa2023__centered_only_at_cc__jointsearch63,AGIQA-3K,42,RN50,transfer,,AIGCIQA2023,centered_only_at_cc,10.0,3.0,0.6674305800030753,0.5059169771611541,0.5866737785821148,0.46779881661975736,0.33648760046268467,0.6754631873475877,2.2000274296963904,0.5597982750470376
aigciqa2023__rn50__split42__transfer_from_agiqa3k__ridge_fixed__jointsearch63,AIGCIQA2023,42,RN50,transfer,,AGIQA-3K,ridge_fixed,10.0,0.0,0.6799875436273662,0.2940592156607301,0.4870233796440482,0.2940587166602622,0.07855068840280707,0.6841398378078586,1.9062567988478398,0.47290731896343685
aigciqa2023__rn50__split42__transfer_from_agiqa3k__cc_alpha10__jointsearch63,AIGCIQA2023,42,RN50,transfer,,AGIQA-3K,cc_alpha10,10.0,10.0,0.7017891535807359,0.3467869472708826,0.5242880504258093,0.34678666459662083,0.07829952764656847,0.7074062405820506,1.904771972077498,0.5353352146553911
aigciqa2023__rn50__split42__transfer_from_agiqa3k__ridge_tuned15__jointsearch63,AIGCIQA2023,42,RN50,transfer,,AGIQA-3K,ridge_tuned15,1.0,0.0,0.7164867987977545,0.33862725439392066,0.5275570265958376,0.3386269116066696,0.07202000555709918,0.7201409378209394,1.8890411112135168,0.5135316976074887
aigciqa2023__rn50__split42__transfer_from_agiqa3k__cc_joint__jointsearch63,AIGCIQA2023,42,RN50,transfer,,AGIQA-3K,cc_joint,10.0,10.0,0.7017891535807359,0.3467869472708826,0.5242880504258093,0.34678666459662083,0.07829952764656847,0.7074062405820506,1.904771972077498,0.5353352146553911
aigciqa2023__rn50__split42__transfer_from_agiqa3k__ridge_matched__jointsearch63,AIGCIQA2023,42,RN50,transfer,,AGIQA-3K,ridge_matched,0.970873786407767,0.0,0.7164281563661872,0.3385068502992549,0.5274675033327211,0.3385065027724706,0.07046401778271741,0.7201260155499597,1.8884210221481352,0.5135283195034105
aigciqa2023__rn50__split42__transfer_from_agiqa3k__sample_joint__jointsearch63,AIGCIQA2023,42,RN50,transfer,,AGIQA-3K,sample_joint,10.0,10.0,0.7091467211132508,0.3577437198854638,0.5334452204993573,0.3577433332208135,0.11719922200611278,0.7150977236763606,1.9095977875044987,0.5471203279340361
aigciqa2023__rn50__split42__transfer_from_agiqa3k__uncentered_joint__jointsearch63,AIGCIQA2023,42,RN50,transfer,,AGIQA-3K,uncentered_joint,1.0,0.03,0.7162231650593489,0.3389699429710462,0.5275965540151976,0.33896959437198904,0.07246457349263682,0.7199803874223568,1.8879500175615804,0.5132206685714069
aigciqa2023__rn50__split42__transfer_from_agiqa3k__sample_at_cc__jointsearch63,AIGCIQA2023,42,RN50,transfer,,AGIQA-3K,sample_at_cc,10.0,10.0,0.7091467211132508,0.3577437198854638,0.5334452204993573,0.3577433332208135,0.11719922200611278,0.7150977236763606,1.9095977875044987,0.5471203279340361
