run_id,dataset,split_seed,backbone,regime,heldout,source,method,alpha,lambda,P,W,balanced,macro,worst,PLCC,RMSE,centered_PLCC
agiqa3k__rn50__split44__uncentered_joint__jointsearch63,AGIQA-3K,44,RN50,core,,,uncentered_joint,1.0,0.3,0.8743734936533907,0.6197766114975763,0.7470750525754835,0.5369475070790858,0.33197736133188965,0.9124539172212623,0.4410573394221761,0.7282329957842281
agiqa3k__rn50__split44__sample_at_cc__jointsearch63,AGIQA-3K,44,RN50,core,,,sample_at_cc,10.0,10.0,0.8798209062130387,0.6509494488148501,0.7653851775139444,0.5780199638956381,0.38642977736323814,0.9030485119687103,0.5155010391762687,0.750786881069242
agiqa3k__rn50__split44__uncentered_at_cc__jointsearch63,AGIQA-3K,44,RN50,core,,,uncentered_at_cc,10.0,10.0,0.8713425051846787,0.607218698792091,0.7392806019883849,0.5298089277063124,0.33718686707468676,0.9112863103241408,0.4442876438055156,0.7227878260049716
agiqa3k__rn50__split44__centered_only_at_cc__jointsearch63,AGIQA-3K,44,RN50,core,,,centered_only_at_cc,10.0,10.0,0.8648291061477422,0.6446758191288219,0.754752462638282,0.5884278444086994,0.3611865906086287,0.8760063306173678,0.6259674992056438,0.7473089822362249
agiqa3k__rn50__split45__ridge_fixed__jointsearch63,AGIQA-3K,45,RN50,core,,,ridge_fixed,10.0,0.0,0.8656838699044006,0.6104553523199895,0.738069611112195,0.5467888833433089,0.35119229584003225,0.8937918865724626,0.5230771387135361,0.711352207577604
agiqa3k__rn50__split45__cc_alpha10__jointsearch63,AGIQA-3K,45,RN50,core,,,cc_alpha10,10.0,10.0,0.8907995818035346,0.7072427301251388,0.7990211559643368,0.6378445721963152,0.40843530546369944,0.9016945163443028,0.5148787275380917,0.781932046339841
agiqa3k__rn50__split45__ridge_tuned15__jointsearch63,AGIQA-3K,45,RN50,core,,,ridge_tuned15,0.3225806451612903,0.0,0.8956913869529615,0.6844905015136691,0.7900909442333153,0.5968105394936204,0.3276358326100681,0.9130754796327933,0.4347951366696014,0.7643104416191903
agiqa3k__rn50__split45__cc_joint__jointsearch63,AGIQA-3K,45,RN50,core,,,cc_joint,30.0,30.0,0.8822571571236539,0.7097263895177154,0.7959917733206847,0.6417451998242423,0.419674873926324,0.8879571662216479,0.5693440550766101,0.7845543366280211
agiqa3k__rn50__split45__ridge_matched__jointsearch63,AGIQA-3K,45,RN50,core,,,ridge_matched,0.3225806451612903,0.0,0.8956913869529615,0.6844905015136691,0.7900909442333153,0.5968105394936204,0.3276358326100681,0.9130754796327933,0.4347951366696014,0.7643104416191903
agiqa3k__rn50__split45__sample_joint__jointsearch63,AGIQA-3K,45,RN50,core,,,sample_joint,10.0,10.0,0.8922743420168653,0.7156906878568148,0.80398251493684,0.6414614031736642,0.4126159747058774,0.9014731116199995,0.5084329731132279,0.78459656692477
agiqa3k__rn50__split45__uncentered_joint__jointsearch63,AGIQA-3K,45,RN50,core,,,uncentered_joint,1.0,0.0,0.8941285097751819,0.6779147056395927,0.7860216077073873,0.598280950870698,0.34596645928730985,0.91265673246661,0.4364466421026146,0.7612837436458402
agiqa3k__rn50__split45__sample_at_cc__jointsearch63,AGIQA-3K,45,RN50,core,,,sample_at_cc,30.0,30.0,0.8837794996637409,0.720930480902933,0.8023549902833369,0.6489763590733746,0.43089836289186323,0.8875389126701254,0.5600403781093338,0.7874536979092429
agiqa3k__rn50__split45__uncentered_at_cc__jointsearch63,AGIQA-3K,45,RN50,core,,,uncentered_at_cc,30.0,30.0,0.8913249057037531,0.6684785578462595,0.7799017317750063,0.5914118626954484,0.3384412546513896,0.9120180236330279,0.43758854322964497,0.7579754955672375
agiqa3k__rn50__split45__centered_only_at_cc__jointsearch63,AGIQA-3K,45,RN50,core,,,centered_only_at_cc,30.0,30.0,0.8691851534908454,0.7124348087845442,0.7908099811376947,0.6440874275968728,0.41668408746845825,0.8695583403722887,0.6187669107021654,0.7846829746535297
agiqa3k__rn50__split46__ridge_fixed__jointsearch63,AGIQA-3K,46,RN50,core,,,ridge_fixed,10.0,0.0,0.8604522678773625,0.6370832570907567,0.7487677624840596,0.597532947836196,0.44344575380749374,0.8903653397128001,0.5435174629368299,0.7079998404763143
agiqa3k__rn50__split46__cc_alpha10__jointsearch63,AGIQA-3K,46,RN50,core,,,cc_alpha10,10.0,10.0,0.8746093221220165,0.6966736604777615,0.785641491299889,0.65025525882562,0.47208264736894073,0.8894198569081958,0.5545516121606789,0.7617016484137615
agiqa3k__rn50__split46__ridge_tuned15__jointsearch63,AGIQA-3K,46,RN50,core,,,ridge_tuned15,1.0,0.0,0.8841142675195982,0.687222330076504,0.7856682987980511,0.6322143477374035,0.4718093025118129,0.9080047125314771,0.4590731396170013,0.7539924971408808
